ID,Name,Website,Logo,Short Description,Sector,R Strategy 1,R Strategy 2,Is Marketplace?,"Is rental, lend or swap?",Is Reverse Logistics?,Is Resale?,Is Asset Management/Tracking,Is 3rd Sector?,Active?,Dup check
,Madaster Services UK,https://madaster.co.uk/,Madaster.svg,"web-based platform that allows users to record, securely store and transparently share what materials and products are contained within buildings and infrastructure assets.",Construction,R3 Reuse,R7 Repurpose,No,No,No,No,No,Yes,,FALSE
,Machino,https://www.machinio.com/,Machinio.svg,"Used construction equipment, agricultural equipment and more",Construction,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,MachineryZone,https://www.machineryzone.nl/,MachineryZone.jpg,"Present in over 20 countries, the Machinery website specializes in the sale and purchase of public works equipment, transport equipment and loading and unloading equipment, both new and second-hand.",,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Loopfront,https://www.loopfront.com/no/,Loopfront.png,"Loopfront provides a holistic platform for reuse of furniture, fixtures and building materials",,R3 Reuse,,No,No,No,No,No,Yes,,FALSE
,Loopcycle,https://loopcycle.io/,Loopcycle.png,Our platform provides independent data and insights on the carbon footprint of any registered asset throughout its full lifecycle.,,R3 Reuse,,No,No,No,No,No,Yes,,FALSE
,Loop Returns,https://www.loopreturns.com/,Loop.svg,"""Loop is a return management platform that grows with brands. And makes returns stress-free for you and your shoppers.""",Fashion & Textiles,R3 Reuse,,No,No,Yes,No,No,Yes,,FALSE
,Loop (Terra Cycle),https://exploreloop.com/,Loop.png,"Terracycle Loop is a circular shopping platform that partners with major consumer goods companies to offer products in reusable packaging. Loop activates a circular ecosystem by collaborating with brands, retailers, and manufacturers to enable the sale and collection of reusable and returnable versions of conventional single-use products to make reuse convenient and accessible.",Retail,R3 Reuse,,No,No,No,No,No,Yes,,FALSE
,Loom Fashion,https://loom.fashion/,Loom.png,"Loom connects users with designers to bring their fashion ideas to life. Users describe their idea with a budget and due date, and designers can quote for those projects.",Fashion & Textiles,R4 Repair,R3 Reuse,No,No,No,No,No,Yes,,FALSE
,Lizee,https://www.lizee.co/en/,Lizee.svg,Empowering retail giants with an in-store circular solution for profitable reuse. all-in-one solution covers all your needs. Front-end activation. Returns management. Merchandise reconditioning. And real-time inventory tracking,Retail,R3 Reuse,,Yes,No,No,Yes,Yes,Yes,,FALSE
,Lixo,https://www.lixo.tech/english/en,Lixo.png,"Lixo boosts the circular economy to enable recycled raw materials to finally compete with virgin raw materials. To do so, we create smart computer vision tools that allow all players in the waste management industry (haulers, MRFs, recyclers, etc.) to integrate smart data, in real time.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Kudos Charity Retail System,https://www.kudos-software.co.uk/charity-retail-system/furniture-and-electricals/,Kudos.svg,"Simplifying the entire furniture reuse process, from the initial phone call to delivering the goods. That’s Kudos. The No.1 retail solution for furniture and electrical reuse.",Retail,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Kolekt,https://kolekt.com/,Kolekt.png,"KOLEKT is the world’s first multi-material global waste management app. This innovative new free app brings together solid waste producers, collectors and recyclers. Download for free and start trading recyclable materials today.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Kidsie,https://kidsie.com/,Kidsie.svg,"Kidsie have partnered with leading kid and baby brands to bring you incredible discounts of up to 80% off on products that are in perfect, nearly new or gently used condition. From returns with open boxes, to clearance and end-of-stock items, and ex-display products.",Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Kezzler,https://kezzler.com/,Kezzler.svg,"A software company and technology leader specialized in providing digital ID solutions for connected products. Through the Kezzler Connected Products Platform, companies can digitize products to collect, structure and share secure, real-time value chain data at scale. This enables traceability throughout the product’s lifetime to achieve regulatory compliance, gain supply chain visibility, enable circular solutions and create dynamic end-user experiences.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,Keylight,https://www.keylight.com/,Keylight.svg,"The only subscription business platform that combines omnichannel commerce, subscription management, billing and predictive analytics – with one user-centric backbone.",,R3 Reuse,,No,Yes,No,No,No,Yes,,FALSE
,IRS Robotics,https://www.irsrobotics.com/en/,IRSRobotics.jpg,"Refurbished robots, Robot Spare Parts & Service",,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Iqutech,https://www.iqutech.com/software-solutions/,Iqutech.png,Returns Management Services software and Quality Escapes management software.,,R3 Reuse,,No,No,Yes,No,No,Yes,,FALSE
,iPoint-systems,https://www.ipoint-systems.com/solutions/circular-economy/,iPoint.png,"software to digitise product life cycles and supply chain relationships. In doing so, iPoint provides companies access to data which can be analysed to report on the impact of their products and processes.",,R1 Rethink,R8 Recycle,No,No,No,No,Yes,Yes,,FALSE
,In the Loop AI,https://www.intheloopai.com/,InTheLoop.png,"Intelligence technology for secondhand fashion which helps reduce the friction of identifying, processing, and listing secondhand items.",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Intellibin,http://www.intellibin.co,Intellibin.svg,Real-time Waste Monitoring and Insights powered by Wireless Weight Sensors. Transform every discarded item into insights that help you become more sustainable. Get real-time waste weight data & insights for castor wheeled bins with WasteLive monitoring from Intellibin.,Waste Management,,,No,No,No,No,No,Yes,,FALSE
,Infinfty,https://www.toinfinfty.com/,Infinfty.png,"A B2B SaaS platform optimizing circular economies for goods by providing full product lifecycle traceability, reducing costs, and increasing revenues. Our technology tracks products from origin to end-of-life, supports re-X (recycling, repair, and resale) activities, and provides valuable product performance data.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,IFixIt,https://www.ifixit.com/,iFixit.svg,Never take broken for an answer Get the instructions you need with quality repair parts and tools and the expertise of a robust community.,IT Hardware,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,Hello Tractor,https://hellotractor.com/,HelloTractor.png,"Hello Tractor is an award winning diversified ag-tech company focused on improving food and income security throughout sub-Saharan Africa. Resource poor farmers often face labor constraints that result in under cultivation, late planting, and lost income. Hello Tractor facilitates convenient and affordable tractor services to these farmers while providing additional income by turning tractor's into Smart Tractors. For tractor owners, our platform provides remote tracking of assets, preventing fraud and machine misuse, through virtual tractor monitoring.",Agriculture,R2 Reduce,,No,Yes,No,No,Yes,Yes,,FALSE
,Hammoq,https://www.hammoq.com/listing,Hammoq.svg,"""AI Automation Making Resale Profitable Our innovative Photography, Listing, and Sorting solutions reduce human touchpoints and drive revenue growth""",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Grover,https://www.grover.com/de-de/how-it-works,Grover.svg,An online subscription platform intended for renting tech products. Use instead of buying.,IT Hardware,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,Greyparrot,https://www.greyparrot.ai/,Greyparrot.svg,Greyparrot is the leading AI waste analytics platform for the circular economy. We are on a mission to increase transparency and automation in waste management to unlock the financial value of waste. Our solution is digitising the $1.6 trillion waste management industry to accelerate the race to meet global recycling targets.,,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Greenbimlabs,https://www.greenbimlabs.com/product,GreenBimlabs.svg,"Aikana product- The Intelligent Solution to Analyze, Verify and Predict the Circularity, Health and Cost Performance of Your Buildings",Construction,R8 Recycle,R7 Repurpose,No,No,No,No,No,Yes,,FALSE
,GoodsTag,https://www.goodstag.com/,GoodsTag.png,"Our Smart Products Platform as a Service, enabling manufacturers and retailers to provide context-specific digital services (B2B & B2C) and dynamic content on physical products. The platform facilitates the sustainable implementation of digital product passports and circularity ecosystems with unique IDs, including GS1 Digital Link.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,GoodMine,https://www.goodmine.co.uk/,GoodMine.png,"Find the Next Life for Your Unwanted Stuff. Sell, Share, Repair, or Donate - All Your Options in One Place",,R3 Reuse,,Yes,No,No,No,No,Yes,,FALSE
,Global Circular Network,https://www.globalcircularnetwork.com/,GlobalCircularNetwork.png,"The Global Circular Network connects products and supply chains to an open source circular economy through an innovative platform that creates reverse logistics value chain connectivity. By combining human-centered design with innovative smart tech tools we connect people and services, plus gather comprehensive circularity LCA data. ",,R1 Rethink,R8 Recycle,No,No,Yes,No,Yes,Yes,,FALSE
,Geartrade,https://geartrade.com/,Geartrade.png,"An online re-commerce exchange amongst outdoor enthusiasts, outdoor brands, and outdoor stores. Of pre-owned, reusable, returned, repaired, and quality outdoor gear.",Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Garmst,https://www.garmst.co.uk/,Garmst.png,"Garmst is a family run men’s stylised rental shirt subscription service. They deliver 4 personally styled designer and vintage shirts, per month, to the customer's door.",Fashion & Textiles,R1 Rethink,,No,Yes,No,No,No,Yes,,FALSE
,Ganddee,https://www.ganddee.com/,Ganddee.png,"A mobile app that allows users to find and recommend ethical shops, rental services, and more in their community.",Retail,R1 Rethink,R3 Reuse,No,No,No,No,No,Yes,,FALSE
,Fxry,https://www.thefxry.com/,FXRY.png,"FXRY was founded with one clear goal: to tackle the fashion industry's challenges head-on. Our mission is to empower individuals to combat the detrimental effects of clothing waste. Through our digital platform, we provide easy access to high-quality tailoring services.",Fashion & Textiles,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,FLOOW2 community,https://www.floow2.com/,FLOOW2.svg,"Smart sharing tech to help smart organisations grow. With our tech, you can create transparency about who has (or needs) what, where, and when. The result? More efficient matching of demand and supply.",,R2 Reduce,R3 Reuse,Yes,Yes,No,No,No,Yes,,FALSE
,fixfirst,https://fixfirst.io/,FixFirst.png,"FixFirst is the operating system for repair & maintenance in a circular economy. Our AI-first software enables the ecosystem of local repair services providers, manufacturers, retailers and insurances by providing an instant error analysis and remote video consultations combined with a seamless booking experience for inspections and repairs aswell as recommendations for sustainable alternatives. ",,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,Fixably,https://www.fixably.com/,Fixably.svg,"Make every device count, and boost returns. Get full visibility of your entire after-sales operations. Forget copy-pasting and switching between windows, enhance repair and refurb workflows with Fixably.",,R5 Refurbish,R4 Repair,No,No,No,No,No,Yes,,FALSE
,Firmhouse,https://www.firmhouse.com/,Firmhouse.svg,"Product as a service: ""The Firmhouse platform enables you to offer your product subscriptions in the blink of an eye. Fully stand-alone or connected to your existing website or e-commerce store.""",,R1 Rethink,,No,Yes,No,No,No,Yes,,FALSE
,Finds,https://finds.solutions/,Finds.png,The 360° platform for trading fashion’s surplus stock.,Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Faro,https://www.faro.co/,Faro.svg,"Leveraging technology and a specialised supply chain, FARO enables brands to offload obsolete inventory through stores in non-core markets, ensuring complete traceability throughout the process.",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Faircado,https://faircado.com/,Faircado.svg,Faircado is an AI-powered browser extension that helps you find the best pre-loved alternatives when you shop online by searching from a database of 10+ million products from 70 different trustworthy partners.,Retail,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Fabricfeed,https://www.fabricfeed.io/,FabricFeed.png,"Textile waste data collection, management and reporting for startups and enterprises ",Waste Management,,,No,No,No,No,Yes,Yes,,FALSE
,Excess Materials Exchange,https://excessmaterialsexchange.com/,ExcessMaterialsExchange.png,Our digital matching platform finds new high-value reuse options for your materials or (waste) products. We give a powerful boost to your circular ambitions. And guarantee you: a smaller ecological footprint and greater financial value can simply go together.,Waste Management,R7 Repurpose,R3 Reuse,Yes,No,No,No,No,Yes,,FALSE
,evreka,https://evreka.co/,Evreka.svg,Recycling and Waste Management Platform for Circular Economy,Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Eon,https://www.eon.xyz/,EON.svg,"Connecting the world's products to make every item traceable, intelligent and more valuable. EON's software platform, EON Product Cloud, delivers business value to global retail brands through unique, item-level Digital IDs. ",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,enviromate,https://www.enviromate.co.uk/,Enviromate.png,"closed loop marketplace where people connect to buy, sell or donate leftover building materials. Helping build a future where we share, upcycle and reuse surplus. Reducing the impact the industry has on our environment and building toward a more circular economy.",Construction,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,empower.eco,https://www.empower.eco/,Empower.png,"empower generates value out of plastic waste - enabling collectors, recyclers, brands and consumers to make a real impact on the environment.",,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Ecodicta,https://ecodicta.com/,Ecodicta.jpg,"A platform that seeks to help users to dress consciously, either through a monthly and occasional rental service, or their second-hand section.",Fashion & Textiles,R2 Reduce,R3 Reuse,Yes,No,No,Yes,No,Yes,,FALSE
,Ecochain,https://ecochain.com/lca-software/,Ecochain.svg,"Design more sustainable products with actionable insights in a click. Measure your product’s environmental footprint, experiment with alternative materials, processes, and designs, and benchmark your products against industry standards.",,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,eBay Refurbish,https://pages.ebay.co.uk/refurbished-hub/,eBay.png,"Section of the eBay marketplace where certified refurbished items are sold. Items are refurbished by the manufacturer or manufacturer-approved vendor. Excellent, Very Good and Good condition items are refurbished by quality-vetted eBay sellers. ",Retail,R5 Refurbish,,Yes,No,No,Yes,No,Yes,,FALSE
,Dsposal,https://dsposal.uk/,Dsposal.svg,"Dsposal's software products include Compliance Dashboard and Paperwork. Compliance Dashboard is a go-to platform for managing waste compliance, documents, contracts, and data. Paperwork is designed and built for SME waste companies, helping them streamline their entire business operations from opportunities to invoicing, thereby increasing productivity and profitability.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Doji,https://doji.co.uk/,Doji.svg,Doji is a smart trading platform for refurbished smartphones and tablets where everyone gets the best prices.,IT Hardware,R5 Refurbish,R3 Reuse,No,No,No,Yes,No,Yes,,FALSE
,Digimarc,https://www.digimarc.com/products/plastic-recycling,Digimarc.svg,"A pioneer and leader in digital watermarking technologies. For nearly 30 years, Digimarc innovations and intellectual property in digital watermarking have been deployed at a massive scale for the identification and the authentication of physical and digital items.",Retail,R8 Recycle,,No,No,No,No,Yes,Yes,,FALSE
,Deply,https://deply.it/,Deply.svg,"Deply is a platform that helps companies increase operations accuracy and efficiency, reduce waste and carbon footprint and promote cross-industrial circular economy.",,R8 Recycle,R0 Refuse,No,No,No,No,No,Yes,,FALSE
,Data Company One,https://www.datacompanyone.com/,DataCompanyOne.svg,"Powering Sustainability with Data
We revolutionize supply chain, asset, waste management, and circular economy sectors with our cloud-native platform. Tracking materials, carbon emissions, and promoting recycling-driven carbon neutrality, we serve businesses, educational institutions, and enterprises, offering tools for valuable insights. Our technology allows transparent demonstration of sustainability commitments, employing codes, tags, and AI to identify products, with clients contributing to its growth.",,R8 Recycle,,No,No,No,No,Yes,Yes,,FALSE
,Cyrkl,https://www.cyrkl.com/en/marketplace,Cyrkl.svg,Europe’s largest platform for industrial waste management and green sourcing,,R8 Recycle,R7 Repurpose,Yes,No,No,No,No,Yes,,FALSE
,Cycle Saver,https://cyclesaver.co.uk/,CycleSaver.png,"CycleSaver allows bike share users to take advantage of the UK government's cycle to work scheme and enjoy significant savings.
The first of it's kind, CycleSaver provides monthly and annual salary sacrifice subscriptions to the UK's most popular bike sharing providers.

Plus, with a fully automated onboarding process and no cost to employers, they can focus on what really matters – their employee's health and financial wellbeing.",Unknown,R2 Reduce,,No,Yes,No,No,No,Yes,,FALSE
,Current RMS,https://current-rms.com/,CurrentRMS.svg,"Equipment rental management software An all-in-one cloud solution for the AV, production, event and party rental industries.",Unknown,R1 Rethink,,No,Yes,No,No,Yes,Yes,,FALSE
,Container Grid,https://containergrid.de/en/,ContainerGrid.png,"Everything you need to manage recycling and disposal processes, logistics and partnerships ContainerGrid offers solutions for waste management companies, recyclers and industrial customers who want to work seamlessly across locations.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Component Sense,http://www.componentsense.com,ComponentSense.svg,"A global re-distributor of electronic components. By specialising in excess and obsolete electronic components, they help manufacturers achieve greater efficiency, profitability, and sustainability.",IT Hardware,R2 Reduce,,Yes,No,No,No,No,Yes,,FALSE
,Collecct,https://www.collecct.com/,Collecct.png,"Collecct AB digitizes the waste industry through an independent platform. In Collect's platform, you can create a digital Material and waste management plan according to the Construction Companies' guidelines and share it with various actors and over the entire life of the project.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Cloov,https://cloov.tech/,Cloov.png,Cloov is a SaaS startup that enables companies in the apparel space to create a rental strategy,Fashion & Textiles,R1 Rethink,,No,Yes,No,No,No,Yes,,FALSE
,Cling,https://www.clingsystems.com/,Cling.svg,"Cling's circular platform both helps battery repurposers to build safe and cost effective second life energy system, and battery recyclers to produce new recycled raw material. ",Automotive,R7 Repurpose,,Yes,No,No,No,No,Yes,,FALSE
,Cirplus,https://cirplus.com/,Cirplus.svg,"Cirplus leverages digital technology to make that future possible, closing the loop and put an end to plastic pollution.",,R8 Recycle,,Yes,No,No,No,No,Yes,,FALSE
,Circuly,https://www.circuly.io/,Circuly.svg,"Circuly is a subscription management software dedicated for product-as-a-service like cars , bikes , consumer electronics  , baby goods, heavy equipment,  clothes, furniture, and their ilk. ",,R1 Rethink,R3 Reuse,No,Yes,No,No,No,Yes,,FALSE
,Circulor,https://www.circulor.com/,Circulor.png,Supply chain traceability solutions,,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,Circulo,https://circulo.tech/,Circulo.jpg,"Global technology that delivers scalable, profitable and seamless repair services customised to your business needs Make repair profitable, scalable and seamless. We provide the global technology, you own the operations. We’ve facilitated over 100,000 repairs across diverse categories, collaborating with 10 enterprise brands.",,R4 Repair,,No,No,Yes,No,No,Yes,,FALSE
,Circularise,https://www.circularise.com/,Circularise.png,Digital product passports for supply chain traceability. Circularise is the leading blockchain platform that provides digital product passports for end-to-end traceability and secure data exchange for industrial supply chains.,,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,CircularIQ,https://circular-iq.com/?sfw=pass1709665672,CircularIQ.png,The CTI Tool was developed to help businesses in different industries worldwide to measure and improve their circular performance by supporting and guiding companies through the Circular Transition Indicators process.,,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,circular.fashion,https://circular.fashion/,CircularFashion.svg,"circular.fashion has developed a digital platform enabling garments to be designed for circularity from the very beginning. With a sleek and smart traceability solution the platform enables a transparent flow of information between material suppliers, brands, customers and recyclers to collaboratively realise a circular economy for fashion and textiles. The platform can be purchased and used as a software as a service and features the following tools: Circular Material Library, Design Guidelines, Product Check, circularity.ID, Customer Interface and Sorting Software.",Fashion & Textiles,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,Circuland,https://circuland.co.uk/,Circuland.png,"We provide a one-stop shop for Digital Materials Passports in the Built Environment, unlocking the hidden potential of your materials and projects. Our platform simplifies and streamlines the process to enable reuse, automate reporting , and support building safety and facility management.",Construction,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,Circul8,https://circul8.world/about.html,Circul8.svg,"circul8® (By Landbell Group) is a comprehensive software suite to facilitate Circular Economy operations and to manage extended producer responsibility (EPR) obligations. It is modularly built to support different user groups, ranging from producers, compliance schemes and authorities to single carriers, recyclers, and their different tasks. circul8® accommodates various market requirements and grows with the needs of clients and users.",,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,Circotrade,https://www.circotrade.com/,Circotrade.jpg,"A technologically enabled trading platform to facilitate and unlock the future value of your building’s materials. Helping the planet by extracting environmental, social and financial value from previously disregarded building materials by planning for their future re-use.",Construction,R8 Recycle,R7 Repurpose,No,No,No,No,Yes,Yes,,FALSE
,Certilogo Digital ID,https://discover.certilogo.com/pages/digital-product-passport,Certilogo.png,"Participating brand products are connected to the Certilogo platform with unique identifiers in RFID, NFC, QR, numeric, and fingerprint formats that are recognized instantly when consumers interact with the service using a smartphone or digital device.  Authenticating a product engages consumers with a best-in-class digital experience before and after purchase and connects them directly with the brands they love.",Retail,R3 Reuse,R8 Recycle,No,No,No,Yes,No,Yes,,FALSE
,CELLZ Oy,https://www.cellz.tech/,CELLZ.png,"An online platform that connects buyers, sellers and facilitators of pre-loved electric car batteries. Ensuring that no more batteries end up in landfill but return into the circular economy is our core mission. ",Automotive,R3 Reuse,R8 Recycle,Yes,No,No,Yes,No,Yes,,FALSE
,CarSales,https://www.carsales.com.au/,carsales.svg,Second hand car marketplace,Automotive,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,By Rotation,https://byrotation.com/,ByRotation.png,"By Rotation is the world's largest shared wardrobe. Rent, lend and resell quality fashion with our community.",Fashion & Textiles,R3 Reuse,R7 Repurpose,Yes,Yes,No,Yes,No,Yes,,FALSE
,Byewaste,https://www.byewaste.nl/,Byewaste.svg,Give a second life to your pre-loved items. We collect items you no longer need directly from your home and give them a second life through our network of sustainable partners .,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Buycycle,https://buycycle.com,Buycycle.png,"An online marketplace for high value pre-owned bikes, making selling and buying pre-owned bikes just as easy as riding them.",Retail,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Bundlee,https://bundlee.co.uk/,Bundlee.svg,The “game changing” membership rental for baby and toddler clothes,Fashion & Textiles,R1 Rethink,R3 Reuse,Yes,Yes,No,No,No,Yes,,FALSE
,Boels Rental,https://www.boels.com/en-gb,Boels.jpg,"One of the largest rental companies in Europe. This includes both equipment rentals and specialist rentals. With more than 650,000 rental items, we have the broadest range of modern and top quality equipment and tools. Accessible anywhere via our network of more than 750 branches in 18 countries",,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,Birl,https://www.wearebirl.com/,Birl.png,Turn onCircularity through a single button. The elegant resale solution that powers brands with purpose to drive their growth and sustainability goals.,,R3 Reuse,R2 Reduce,No,No,No,No,Yes,Yes,,FALSE
,Beni,https://www.joinbeni.com/,Beni.png,"Browser extension to facilitate resale. ""AI-Powered Shopping  Assistant See the best resale deals while you shop""",Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Bandi,http://www.bandiapp.co.uk/,Bandi.png,"A mobile app that is a sustainable alternative to fast fashion, allowing users to swap the clothes they never wear and build a better wardrobe without the cost of new clothing or the cost to the planet.",Fashion & Textiles,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Back Market,https://www.backmarket.com/en-us,BackMarket.svg,A global marketplace for reborn tech. We're a global marketplace for refurbished devices. Our rigorous vetting process means that only the best refurbishers can sell on our platform.,IT Hardware,R5 Refurbish,R3 Reuse,Yes,No,No,Yes,No,Yes,,FALSE
,BACKACIA,https://backacia.com/collections/all,Backacia.png,The marketplace for the reuse of construction materials and equipment.,Construction,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,BabyLoop,https://www.babyloop.nl/?lang=en,Babyloop.png,Rent premium baby products for your family,Retail,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,Baboodle,https://baboodle.co.uk/,Baboodle.png,Baby equipment rental,Fashion & Textiles,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,Babonbo,https://www.babonbo.com/,Babonbo.png,Baby gear rental marketplace,Fashion & Textiles,R3 Reuse,,Yes,Yes,No,No,No,Yes,,FALSE
,Autotrader,https://www.autotrader.com/cars-for-sale,Autotrader.svg,Used cars for sale near you,Automotive,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,atma io,https://www.atma.io/,Atma.io.svg,"A platform that unlocks the power of connected products by assigning unique digital IDs to everyday items, providing unparalleled end-to-end transparency by tracking, storing and managing all the events associated with each individual product — from source to consumer and beyond to enable circularity.",,R1 Rethink,,No,No,No,No,Yes,Yes,,FALSE
,Asseta,https://www.asseta.com,Asseta.png,"Asseta offers software solutions for asset lifecycle management, including tracking, maintenance, and disposition. Their platform helps companies extend the lifespan of assets, such as equipment and machinery, through proactive maintenance and refurbishment, contributing to a circular economy approach.",IT Hardware,R4 Repair,R3 Reuse,No,No,No,No,Yes,Yes,,FALSE
,Aspire,https://aspiresme.com/,Aspire.png,"ASPIRE is an online matchmaking tool using innovative software, for material resource exchange that would otherwise be discarded, by bringing different parties together to exchange value.",Waste Management,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,Archive,https://www.archiveresale.com/,Archive.svg,"Resale as a service. ""Archive partners with brands to launch innovative, customized, and profitable resale businesses.""",Fashion & Textiles,R3 Reuse,,No,No,No,Yes,No,Yes,,FALSE
,Apkudo,https://www.apkudo.com/,Apkudo.png,"From in-store retail solutions to high volume warehouse applications, Apkudo is the only platform designed by and for electronics reverse logistic operations. Apkudo enables transparency across the lifecycle of electronic devices, supporting smart decision making and strengthening repair, resale & recycling markets.",IT Hardware,R4 Repair,R3 Reuse,No,No,No,Yes,No,Yes,,FALSE
,AMP,https://ampsortation.com/,AMP.svg,"AMP Smart Sortation™ is waste sortation’s permanent solution. As the leader in AI-powered sortation, we give waste and recycling leaders the power to reduce labor costs, increase resource recovery, and deliver more reliable operations. AMP transforms the economics of the waste industry to make recycling more efficient, cost-effective, scalable, and sustainable.",Waste Management,R8 Recycle,,No,No,No,No,No,Yes,,FALSE
,AMCS,https://www.amcsgroup.com/,AMCSGroup.svg,"Environmental Software Solutions to Accelerate Growth and Sustainability. Accelerate the digital transformation of your business with our intelligent, cloud-based platform. Combining multiple productivity-boosting solutions to improve waste & recycling, transport and manufacturing operations, and ensure regulatory compliance and reporting (EHSQ & ESG).
Innovation for Waste & Recycling, Transport Operations, and EHSQ & ESG",,R8 Recycle,R2 Reduce,No,No,No,No,No,Yes,,FALSE
,Alternew,https://www.alternew.com/,Alternew.png,"Alternew connects fashion to its circular future through alterations, repairs, and beyond. Our tech platform seamlessly connects brands, retail teams, customers and tailors. We’re on a mission to make the transformative powers of care and repair services accessible to all.",Fashion & Textiles,R4 Repair,,No,No,No,No,No,Yes,,FALSE
,Altermaker,https://altermaker.com/solutions/ecodesign-studio/,Altermaker.svg,Life-Cycle Assessment and eco-design software,,R1 Rethink,,No,No,No,No,No,Yes,,FALSE
,Aloqia,https://www.aloqia.com/,Aloqia.svg,"(Formerly Queen of Raw). Aloqia helps businesses understand and use their inventory data better. Streamline your inventory processes, reduce carrying costs, and prevent stock obsolescence. By connecting your inventory data with logistics planning, you ensure timely redistribution, optimize storage, and maintain a leaner, more responsive supply chain.",Fashion & Textiles,R3 Reuse,R8 Recycle,No,No,No,Yes,No,Yes,,FALSE
,AllSurplus,https://www.allsurplus.com/,AllSurplus.png,"AllSurplus is the world’s leading marketplace for business surplus, ranging from heavy equipment to industrial machinery",Unknown,R3 Reuse,,Yes,No,No,Yes,No,Yes,,FALSE
,AirRobe,https://www.airrobe.com/,Airrobe.svg,"AirRobe is the new pre-loved centralised designer platform that makes buying and selling your clothes easier than ever with our Circular Wardrobe™ technology. We do this by connecting brands and customers to the circular economy in one click. AirRobe removes the traditional frustrations of buying and selling pre-loved, removing the manual listing process entirely. Our connected resale experience is entirely seamless.",Fashion & Textiles,R3 Reuse,,Yes,Yes,No,Yes,No,Yes,,FALSE
,A Good Thing,https://www.agoodthing.org.uk/,AGoodThing.png,A mobile app to make it easy for businesses to donate unwanted items to local charities.,,R3 Reuse,,No,No,Yes,Yes,No,Yes,,FALSE
,Acctivate,https://acctivate.com/features/manufacturing-inventory-software/remanufacturing/,Acctivate.png,"Inventory Management Software for QuickBooks. Remanufacturing software helps businesses manage and optimize inventory, purchasing, and the process of remanufacturing or restoring products or parts.",,R6 Remanufacture,,No,No,No,No,Yes,Yes,,FALSE
,12Return,https://www.12return.com/,12Return.png,"12Return is a tech-powered returns service for cross-border commerce. On the 12return platform, you can connect the frontend and backend returns processes into a connected returns process that is up to the challenges of returns.",,R3 Reuse,,No,No,No,No,Yes,Yes,,FALSE
